root,file,ra,dec,srcid,msamet,slitid,grating,exptime,wmin,wmax,sn50,flux50,ctime,version,References,nRef,zfit,z,grade,reviewer,comment,thumb,slit_thumb,FITS,fnu,flam,has_v3,flam_v3
gds-barrufet-s156-v4,gds-barrufet-s156-v4_prism-clear_2198_10840.spec.fits,53.13978172,-27.8534379,10840,jw02198004001_01_msa.fits,25,PRISM_CLEAR,2407.2,0.55,5.5,2,0.176,33:32.5,0.9.5.dev2+g80b81b4,-,0,5.5181,5.5181,3,Auto,Redshift matches gds-barrufet-s156-v3_prism-clear_2198_10840 z=5.5202,,,FITS   d2d,,,1,
jades-gds02-v4,jades-gds02-v4_prism-clear_1286_86199.spec.fits,53.1207819,-27.8340233,86199,jw01286002001_03_msa.fits,386,PRISM_CLEAR,8534.5,0.55,5.5,7.5,0.176,48:21.5,0.9.5.dev2+g80b81b4,-,0,2.7012,2.7012,3,Auto,Redshift matches jades-gds02-v3_prism-clear_1286_86199 z=2.7102,,,FITS   d2d,,,1,
jades-gds-wide2-v4,jades-gds-wide2-v4_g395m-f290lp_1180_13519.spec.fits,53.1362839,-27.8103953,13519,jw01180135001_05_msa.fits,760,G395M_F290LP,9191,2.69,5.5,1.1,0.176,58:06.5,0.9.5.dev2+g80b81b4,CSi23  z=N/A,1,4.0363,4.0363,3,Auto,Redshift matches jades-gds-wide2-v3_g140m-f070lp_1180_13519 z=4.0384,,,FITS   d2d,,,1,
jades-gds-w04-v4,jades-gds-w04-v4_g235h-f170lp_1212_5753.spec.fits,53.05715793,-27.86938226,5753,jw01212054001_01_msa.fits,131,G235H_F170LP,1604.8,1.66,2.66,0.1,0.176,00:02.9,0.9.5.dev2+g80b81b4,-,0,3.3887,3.3887,3,Auto,Redshift matches jades-gds-w04-v4_prism-clear_1212_5753 z=3.3920,,,FITS   d2d,,,0,
jades-gds04-v4,jades-gds04-v4_g235m-f170lp_1286_160205.spec.fits,53.0678084,-27.8995913,160205,jw01286004001_04_msa.fits,583,G235M_F170LP,8534.5,1.61,4.3,0.7,0.176,50:04.4,0.9.5.dev2+g80b81b4,-,0,1.3589,1.3589,3,Auto,Redshift matches jades-gds04-v3_prism-clear_1286_160205 z=1.3605,,,FITS   d2d,,,1,
jades-gds-w06-v4,jades-gds-w06-v4_prism-clear_1212_4168.spec.fits,53.09893541,-27.87495936,43,jw01212006001_01_msa.fits,43,PRISM_CLEAR,2407.2,0.55,5.5,1.9,0.175,58:16.8,0.9.5.dev2+g80b81b4,-,0,2.7016,2.7016,3,Auto,Redshift matches jades-gds-w06-v3_prism-clear_b43 z=2.7024,,,FITS   d2d,,,1,
jades-gds06-v4,jades-gds06-v4_g395m-f290lp_1286_10072485.spec.fits,53.05572,-27.9183508,10072485,jw01286006001_04_msa.fits,651,G395M_F290LP,5689.7,2.69,5.28,1,0.175,49:06.0,0.9.5.dev2+g80b81b4,-,0,1.126,1.126,3,Auto,Redshift matches jades-gds06-v3_prism-clear_1286_10072485 z=1.1269,,,FITS   d2d,,,1,
jades-gds04-v4,jades-gds04-v4_g235m-f170lp_1286_284278.spec.fits,53.0916226,-27.8467368,284278,jw01286004001_04_msa.fits,535,G235M_F170LP,8534.5,1.61,3.78,0.8,0.175,48:41.6,0.9.5.dev2+g80b81b4,-,0,1.8961,1.8961,3,Auto,Redshift matches jades-gds04-v4_prism-clear_1286_284278 z=1.8975,,,FITS   d2d,,,1,
gds-barrufet-s156-v4,gds-barrufet-s156-v4_prism-clear_2198_10527.spec.fits,53.12708375,-27.85633449,10527,jw02198004001_01_msa.fits,29,PRISM_CLEAR,2407.2,0.55,5.5,4.7,0.175,32:54.2,0.9.5.dev2+g80b81b4,-,0,3.5965,3.5965,3,Auto,Redshift matches gds-barrufet-s156-v3_prism-clear_2198_10527 z=3.6039,,,FITS   d2d,,,1,
jades-gds06-v4,jades-gds06-v4_g235m-f170lp_1286_10072485.spec.fits,53.05572,-27.9183508,10072485,jw01286006001_04_msa.fits,651,G235M_F170LP,5689.7,1.6,4.32,0.8,0.175,49:11.7,0.9.5.dev2+g80b81b4,-,0,1.126,1.126,3,Auto,Redshift matches jades-gds06-v3_prism-clear_1286_10072485 z=1.1269,,,FITS   d2d,,,1,
jades-gds10-v4,jades-gds10-v4_g140m-f070lp_1287_162830.spec.fits,53.1212379,-27.8912061,162830,jw01287001003_01_msa.fits,10,G140M_F070LP,33262.7,0.66,2.16,0.8,0.174,45:26.7,0.9.4.dev7+g92b1aa6,-,0,3.4709,3.4709,3,Auto,Redshift matches jades-gds10-v4_prism-clear_1287_162830 z=3.4785,,,FITS   d2d,,,0,
jades-gds03-v4,jades-gds03-v4_g235m-f170lp_1286_186077.spec.fits,53.0554647,-27.8505931,186077,jw01286003001_05_msa.fits,807,G235M_F170LP,2844.8,1.61,4.33,0.4,0.174,14:18.3,0.9.5.dev2+g80b81b4,-,0,1.1103,1.1103,3,Auto,Redshift matches jades-gds03-v4_prism-clear_1286_186077 z=1.1179,,,FITS   d2d,,,1,
gds-deep-v4,gds-deep-v4_g140m-f070lp_1210_16186.spec.fits,53.1169474,-27.8028308,16186,jw01210001002_02_msa.fits,281,G140M_F070LP,24947,0.66,2.58,0.9,0.174,41:25.5,0.9.5.dev2+g80b81b4,ABu23  z=3.928,1,3.9275,3.9275,3,Auto,Redshift matches gds-deep-v3_g395h-f290lp_1210_16186 z=3.9275,,,FITS   d2d,,,1,
gds-udeep-v4,gds-udeep-v4_prism-clear_3215_202185.spec.fits,53.1246641,-27.8007059,202185,jw03215001005_02_msa.fits,261,PRISM_CLEAR,24947,0.55,5.5,11.5,0.174,37:47.5,0.9.5.dev2+g80b81b4,-,0,1.817,1.817,3,Auto,Redshift matches gds-udeep-v3_prism-clear_3215_202185 z=1.8191,,,FITS   d2d,,,1,
jades-gds02-v4,jades-gds02-v4_g235m-f170lp_1286_166015.spec.fits,53.1096898,-27.8841047,166015,jw01286002001_01_msa.fits,59,G235M_F170LP,2844.8,1.61,4.31,0.4,0.174,11:18.6,0.9.5.dev2+g80b81b4,-,0,3.6873,3.6873,3,Auto,Redshift matches jades-gds02-v3_prism-clear_1286_166015 z=3.6827,,,FITS   d2d,,,1,
jades-gds06-v4,jades-gds06-v4_g395m-f290lp_1286_162416.spec.fits,53.0960056,-27.8931573,162416,jw01286006001_04_msa.fits,576,G395M_F290LP,5689.7,2.69,5.5,0.5,0.174,48:59.9,0.9.5.dev2+g80b81b4,-,0,3.4704,3.4704,3,Auto,Redshift matches jades-gds04-v3_g395h-f290lp_1286_162416 z=3.4705,,,FITS   d2d,,,1,
jades-gds-wide-v4,jades-gds-wide-v4_g395m-f290lp_1180_6277.spec.fits,53.134712,-27.7993234,6277,jw01180027001_04_msa.fits,680,G395M_F290LP,3063.7,2.69,5.21,0.5,0.174,28:42.1,0.9.5.dev2+g80b81b4,-,0,3.2565,3.2565,3,Auto,Redshift matches jades-gds-wide-v3_g235m-f170lp_1180_6277 z=3.2572,,,FITS   d2d,,,1,
jades-gds06-v4,jades-gds06-v4_g140m-f070lp_1286_10072485.spec.fits,53.05572,-27.9183508,10072485,jw01286006001_01_msa.fits,123,G140M_F070LP,5689.7,0.66,2.58,0.7,0.174,49:01.0,0.9.5.dev2+g80b81b4,-,0,1.1258,1.1258,3,Auto,Redshift matches jades-gds06-v3_prism-clear_1286_10072485 z=1.1269,,,FITS   d2d,,,1,
jades-gds-w07-v4,jades-gds-w07-v4_prism-clear_1212_5887.spec.fits,53.16653831,-27.8717434,55,jw01212007001_01_msa.fits,55,PRISM_CLEAR,2407.2,0.55,5.5,4.3,0.174,57:31.6,0.9.5.dev2+g80b81b4,-,0,4.0408,4.0408,3,Auto,Redshift matches jades-gds-w07-v3_prism-clear_b55 z=4.0363,,,FITS   d2d,,,1,
jades-gds04-v4,jades-gds04-v4_g235m-f170lp_1286_20179485.spec.fits,53.0873786,-27.8603251,20179485,jw01286004001_01_msa.fits,39,G235M_F170LP,8534.5,1.61,4,0.3,0.174,48:43.2,0.9.5.dev2+g80b81b4,-,0,7.9508,7.9508,3,Auto,Redshift matches jades-gds10-v4_g235m-f170lp_1287_20179485 z=7.9522,,,FITS   d2d,,,1,
gds-barrufet-s67-v4,gds-barrufet-s67-v4_prism-clear_2198_1564.spec.fits,53.07402545,-27.87414538,1564,jw02198003001_02_msa.fits,55,PRISM_CLEAR,2450.9,0.55,5.5,3.1,0.173,34:39.9,0.9.5.dev2+g80b81b4,-,0,2.5754,2.5754,3,Auto,Redshift matches gds-barrufet-s67-v3_prism-clear_2198_1564 z=2.5730,,,FITS   d2d,,,1,
jades-gds-wide2-v4,jades-gds-wide2-v4_g235m-f170lp_1180_b72.spec.fits,53.14161582,-27.805835,72,jw01180135001_01_msa.fits,72,G235M_F170LP,3063.7,1.61,4.36,0.4,0.173,14:24.6,0.9.5.dev8+ge2b237b,-,0,3.47,3.47,3,Auto,Redshift matches jades-gds-wide2-v4_prism-clear_1180_b241 z=3.4829,,,FITS   d2d,,,0,
jades-gds06-v4,jades-gds06-v4_g395m-f290lp_1286_159617.spec.fits,53.0683702,-27.90179,159617,jw01286006001_04_msa.fits,617,G395M_F290LP,8534.5,2.69,5.5,1,0.173,51:36.6,0.9.5.dev2+g80b81b4,-,0,2.3649,2.3649,3,Auto,Redshift matches jades-gds10-v4_g140m-f070lp_1287_159617 z=2.3692,,,FITS   d2d,,,1,
